,광주-1인당 개인소득(단위 천원),광주-주택가격지수(2017.11월 기준),광주-인구(단위 명)
2003,9610.0,67.9,1395762.0
2004,10103.0,67.81,1401172.0
2005,10865.0,70.53,1401745.0
2006,11389.0,73.26,1407798.0
2007,12137.0,74.2,1413444.0
2008,12902.0,75.12,1422702.0
2009,13298.0,74.89,1433640.0
2010,13439.0,75.29,1454636.0
2011,13815.0,83.18,1463464.0
2012,14662.0,90.14,1469216.0
2013,15454.0,91.34,1472910.0
2014,16225.0,92.23,1475884.0
2015,17459.0,96.07,1472199.0
2016,18232.0,98.58,1469214.0
2017,18926.0,99.33,1463770.0
2018,19868.0,101.67,1459336.0
2019,20532.0,104.32,1456468.0
2020,,,1450062.0
