,서울-1인당 개인소득(단위 천원),서울-주택가격지수(2017.11월 기준),서울-인구(단위 명)
2003,12285.0,63.25,10174086.0
2004,13044.0,62.96,10173162.0
2005,13525.0,63.74,10167344.0
2006,14008.0,70.04,10181166.0
2007,15023.0,82.16,10192710.0
2008,15783.0,92.25,10200827.0
2009,16080.0,94.07,10208302.0
2010,17277.0,95.74,10312545.0
2011,18252.0,95.72,10249679.0
2012,18795.0,93.47,10195318.0
2013,19525.0,90.07,10143645.0
2014,19832.0,90.47,10103233.0
2015,20857.0,92.92,10022181.0
2016,21295.0,95.82,9930616.0
2017,22237.0,98.59,9857426.0
2018,23323.0,104.38,9765623.0
2019,23440.0,106.46,9729107.0
2020,,,9668465.0
