,부산-1인당 개인소득(단위 천원),부산-주택가격지수(2017.11월 기준),부산-인구(단위 명)
2003,9685.0,72.05,3691445.0
2004,10164.0,70.2,3666345.0
2005,10695.0,68.05,3638293.0
2006,11323.0,67.27,3611992.0
2007,11855.0,67.12,3587439.0
2008,12699.0,68.68,3564577.0
2009,12993.0,70.54,3543030.0
2010,13605.0,76.21,3567910.0
2011,14396.0,88.16,3550963.0
2012,15098.0,91.74,3538484.0
2013,15651.0,90.41,3527635.0
2014,16147.0,90.94,3519401.0
2015,17044.0,93.11,3513777.0
2016,17525.0,95.75,3498529.0
2017,18189.0,99.19,3470653.0
2018,18868.0,99.27,3441453.0
2019,19680.0,97.43,3413841.0
2020,,,3391946.0
