num_date_time,answer
1 2020-08-25 00,6447
1 2020-08-25 01,6069
1 2020-08-25 02,5829
1 2020-08-25 03,5884
1 2020-08-25 04,5760
1 2020-08-25 05,5564
1 2020-08-25 06,5203
1 2020-08-25 07,4959
1 2020-08-25 08,4130
1 2020-08-25 09,3587
1 2020-08-25 10,3372
1 2020-08-25 11,3254
1 2020-08-25 12,3192
1 2020-08-25 13,3210
1 2020-08-25 14,3680
1 2020-08-25 15,4717
1 2020-08-25 16,5499
1 2020-08-25 17,5664
1 2020-08-25 18,5674
1 2020-08-25 19,5622
1 2020-08-25 20,4993
1 2020-08-25 21,4459
1 2020-08-25 22,3953
1 2020-08-25 23,3468
1 2020-08-26 00,3116
1 2020-08-26 01,3068
1 2020-08-26 02,3106
1 2020-08-26 03,3196
1 2020-08-26 04,3273
1 2020-08-26 05,3315
1 2020-08-26 06,3293
1 2020-08-26 07,5319
1 2020-08-26 08,4335
1 2020-08-26 09,3696
1 2020-08-26 10,3402
1 2020-08-26 11,3278
1 2020-08-26 12,3305
1 2020-08-26 13,3960
1 2020-08-26 14,5092
1 2020-08-26 15,5493
1 2020-08-26 16,5569
1 2020-08-26 17,5579
1 2020-08-26 18,5558
1 2020-08-26 19,5509
1 2020-08-26 20,5432
1 2020-08-26 21,4729
1 2020-08-26 22,4113
1 2020-08-26 23,3689
1 2020-08-27 00,3330
1 2020-08-27 01,3152
1 2020-08-27 02,3132
1 2020-08-27 03,3231
1 2020-08-27 04,3321
1 2020-08-27 05,3378
1 2020-08-27 06,3335
1 2020-08-27 07,5586
1 2020-08-27 08,4458
1 2020-08-27 09,3770
1 2020-08-27 10,3502
1 2020-08-27 11,3440
1 2020-08-27 12,3378
1 2020-08-27 13,3283
1 2020-08-27 14,3179
1 2020-08-27 15,3098
1 2020-08-27 16,3079
1 2020-08-27 17,3061
1 2020-08-27 18,3046
1 2020-08-27 19,3048
1 2020-08-27 20,3065
1 2020-08-27 21,3083
1 2020-08-27 22,3106
1 2020-08-27 23,3137
1 2020-08-28 00,3103
1 2020-08-28 01,3126
1 2020-08-28 02,3133
1 2020-08-28 03,3139
1 2020-08-28 04,3141
1 2020-08-28 05,3141
1 2020-08-28 06,3146
1 2020-08-28 07,3446
1 2020-08-28 08,3362
1 2020-08-28 09,3308
1 2020-08-28 10,3264
1 2020-08-28 11,3214
1 2020-08-28 12,3136
1 2020-08-28 13,3063
1 2020-08-28 14,3056
1 2020-08-28 15,3057
1 2020-08-28 16,3061
1 2020-08-28 17,3067
1 2020-08-28 18,3075
1 2020-08-28 19,3077
1 2020-08-28 20,3077
1 2020-08-28 21,3075
1 2020-08-28 22,3063
1 2020-08-28 23,3020
1 2020-08-29 00,2922
1 2020-08-29 01,2928
1 2020-08-29 02,2978
1 2020-08-29 03,3020
1 2020-08-29 04,3057
1 2020-08-29 05,3088
1 2020-08-29 06,3112
1 2020-08-29 07,3437
1 2020-08-29 08,3356
1 2020-08-29 09,3308
1 2020-08-29 10,3279
1 2020-08-29 11,3258
1 2020-08-29 12,3222
1 2020-08-29 13,3150
1 2020-08-29 14,3102
1 2020-08-29 15,3055
1 2020-08-29 16,2970
1 2020-08-29 17,2864
1 2020-08-29 18,2841
1 2020-08-29 19,2905
1 2020-08-29 20,2974
1 2020-08-29 21,3018
1 2020-08-29 22,3046
1 2020-08-29 23,3041
1 2020-08-30 00,2831
1 2020-08-30 01,2744
1 2020-08-30 02,2729
1 2020-08-30 03,2738
1 2020-08-30 04,2732
1 2020-08-30 05,2707
1 2020-08-30 06,2681
1 2020-08-30 07,2801
1 2020-08-30 08,2967
1 2020-08-30 09,3188
1 2020-08-30 10,3285
1 2020-08-30 11,3293
1 2020-08-30 12,3194
1 2020-08-30 13,3016
1 2020-08-30 14,2732
1 2020-08-30 15,2686
1 2020-08-30 16,2773
1 2020-08-30 17,2894
1 2020-08-30 18,3009
1 2020-08-30 19,3031
1 2020-08-30 20,3035
1 2020-08-30 21,3042
1 2020-08-30 22,3045
1 2020-08-30 23,3068
1 2020-08-31 00,3065
1 2020-08-31 01,3090
1 2020-08-31 02,3090
1 2020-08-31 03,3067
1 2020-08-31 04,3072
1 2020-08-31 05,3105
1 2020-08-31 06,3156
1 2020-08-31 07,3419
1 2020-08-31 08,3369
1 2020-08-31 09,3335
1 2020-08-31 10,3306
1 2020-08-31 11,3276
1 2020-08-31 12,3234
1 2020-08-31 13,3173
1 2020-08-31 14,3129
1 2020-08-31 15,3103
1 2020-08-31 16,3088
1 2020-08-31 17,3079
1 2020-08-31 18,3074
1 2020-08-31 19,3076
1 2020-08-31 20,3087
1 2020-08-31 21,3110
1 2020-08-31 22,3134
1 2020-08-31 23,3163
2 2020-08-25 00,6674
2 2020-08-25 01,6341
2 2020-08-25 02,6032
2 2020-08-25 03,5856
2 2020-08-25 04,5854
2 2020-08-25 05,5933
2 2020-08-25 06,6101
2 2020-08-25 07,6261
2 2020-08-25 08,6302
2 2020-08-25 09,6362
2 2020-08-25 10,6461
2 2020-08-25 11,6588
2 2020-08-25 12,6700
2 2020-08-25 13,6774
2 2020-08-25 14,6802
2 2020-08-25 15,6792
2 2020-08-25 16,6738
2 2020-08-25 17,6657
2 2020-08-25 18,6404
2 2020-08-25 19,6053
2 2020-08-25 20,5699
2 2020-08-25 21,5452
2 2020-08-25 22,5262
2 2020-08-25 23,5136
2 2020-08-26 00,4988
2 2020-08-26 01,5222
2 2020-08-26 02,5513
2 2020-08-26 03,5774
2 2020-08-26 04,5993
2 2020-08-26 05,6051
2 2020-08-26 06,6167
2 2020-08-26 07,6187
2 2020-08-26 08,6240
2 2020-08-26 09,6289
2 2020-08-26 10,6330
2 2020-08-26 11,6373
2 2020-08-26 12,6438
2 2020-08-26 13,6560
2 2020-08-26 14,6683
2 2020-08-26 15,6755
2 2020-08-26 16,6715
2 2020-08-26 17,6491
2 2020-08-26 18,6133
2 2020-08-26 19,5711
2 2020-08-26 20,5465
2 2020-08-26 21,5289
2 2020-08-26 22,5167
2 2020-08-26 23,5106
2 2020-08-27 00,4957
2 2020-08-27 01,5167
2 2020-08-27 02,5447
2 2020-08-27 03,5715
2 2020-08-27 04,5962
2 2020-08-27 05,6040
2 2020-08-27 06,6133
2 2020-08-27 07,6195
2 2020-08-27 08,6287
2 2020-08-27 09,6397
2 2020-08-27 10,6527
2 2020-08-27 11,6662
2 2020-08-27 12,6765
2 2020-08-27 13,6820
2 2020-08-27 14,6822
2 2020-08-27 15,6723
2 2020-08-27 16,6540
2 2020-08-27 17,6104
2 2020-08-27 18,5705
2 2020-08-27 19,5395
2 2020-08-27 20,5170
2 2020-08-27 21,5047
2 2020-08-27 22,4996
2 2020-08-27 23,4982
2 2020-08-28 00,4919
2 2020-08-28 01,5159
2 2020-08-28 02,5477
2 2020-08-28 03,5764
2 2020-08-28 04,6025
2 2020-08-28 05,6168
2 2020-08-28 06,6277
2 2020-08-28 07,6295
2 2020-08-28 08,6348
2 2020-08-28 09,6415
2 2020-08-28 10,6512
2 2020-08-28 11,6647
2 2020-08-28 12,6791
2 2020-08-28 13,6878
2 2020-08-28 14,6918
2 2020-08-28 15,6907
2 2020-08-28 16,6842
2 2020-08-28 17,6640
2 2020-08-28 18,6315
2 2020-08-28 19,5895
2 2020-08-28 20,5577
2 2020-08-28 21,5346
2 2020-08-28 22,5184
2 2020-08-28 23,5058
2 2020-08-29 00,4935
2 2020-08-29 01,5152
2 2020-08-29 02,5479
2 2020-08-29 03,5775
2 2020-08-29 04,6049
2 2020-08-29 05,6230
2 2020-08-29 06,6337
2 2020-08-29 07,6363
2 2020-08-29 08,6402
2 2020-08-29 09,6474
2 2020-08-29 10,6558
2 2020-08-29 11,6688
2 2020-08-29 12,6792
2 2020-08-29 13,6838
2 2020-08-29 14,6850
2 2020-08-29 15,6827
2 2020-08-29 16,6776
2 2020-08-29 17,6618
2 2020-08-29 18,6332
2 2020-08-29 19,5936
2 2020-08-29 20,5638
2 2020-08-29 21,5419
2 2020-08-29 22,5244
2 2020-08-29 23,5124
2 2020-08-30 00,4997
2 2020-08-30 01,5217
2 2020-08-30 02,5519
2 2020-08-30 03,5793
2 2020-08-30 04,6024
2 2020-08-30 05,6100
2 2020-08-30 06,6205
2 2020-08-30 07,6228
2 2020-08-30 08,6313
2 2020-08-30 09,6446
2 2020-08-30 10,6575
2 2020-08-30 11,6695
2 2020-08-30 12,6760
2 2020-08-30 13,6772
2 2020-08-30 14,6737
2 2020-08-30 15,6656
2 2020-08-30 16,6577
2 2020-08-30 17,6523
2 2020-08-30 18,6290
2 2020-08-30 19,5947
2 2020-08-30 20,5626
2 2020-08-30 21,5400
2 2020-08-30 22,5244
2 2020-08-30 23,5146
2 2020-08-31 00,4947
2 2020-08-31 01,5159
2 2020-08-31 02,5470
2 2020-08-31 03,5750
2 2020-08-31 04,6001
2 2020-08-31 05,6120
2 2020-08-31 06,6222
2 2020-08-31 07,6247
2 2020-08-31 08,6277
2 2020-08-31 09,6304
2 2020-08-31 10,6331
2 2020-08-31 11,6362
2 2020-08-31 12,6416
2 2020-08-31 13,6520
2 2020-08-31 14,6611
2 2020-08-31 15,6558
2 2020-08-31 16,6414
2 2020-08-31 17,6161
2 2020-08-31 18,5730
2 2020-08-31 19,5430
2 2020-08-31 20,5248
2 2020-08-31 21,5151
2 2020-08-31 22,5122
2 2020-08-31 23,5102
3 2020-08-25 00,7200
3 2020-08-25 01,6956
3 2020-08-25 02,6740
3 2020-08-25 03,6606
3 2020-08-25 04,6344
3 2020-08-25 05,6089
3 2020-08-25 06,5821
3 2020-08-25 07,5507
3 2020-08-25 08,5427
3 2020-08-25 09,5323
3 2020-08-25 10,5196
3 2020-08-25 11,5083
3 2020-08-25 12,4967
3 2020-08-25 13,4874
3 2020-08-25 14,4788
3 2020-08-25 15,4701
3 2020-08-25 16,4635
3 2020-08-25 17,4550
3 2020-08-25 18,4484
3 2020-08-25 19,4482
3 2020-08-25 20,4364
3 2020-08-25 21,4292
3 2020-08-25 22,4213
3 2020-08-25 23,4113
3 2020-08-26 00,4104
3 2020-08-26 01,4258
3 2020-08-26 02,4606
3 2020-08-26 03,4963
3 2020-08-26 04,5320
3 2020-08-26 05,5647
3 2020-08-26 06,5863
3 2020-08-26 07,5787
3 2020-08-26 08,5663
3 2020-08-26 09,5542
3 2020-08-26 10,5414
3 2020-08-26 11,5258
3 2020-08-26 12,5090
3 2020-08-26 13,4930
3 2020-08-26 14,4798
3 2020-08-26 15,4656
3 2020-08-26 16,4526
3 2020-08-26 17,4397
3 2020-08-26 18,4315
3 2020-08-26 19,4252
3 2020-08-26 20,4168
3 2020-08-26 21,4076
3 2020-08-26 22,3985
3 2020-08-26 23,3897
3 2020-08-27 00,3892
3 2020-08-27 01,4014
3 2020-08-27 02,4189
3 2020-08-27 03,4476
3 2020-08-27 04,4710
3 2020-08-27 05,4967
3 2020-08-27 06,5194
3 2020-08-27 07,5381
3 2020-08-27 08,5269
3 2020-08-27 09,5156
3 2020-08-27 10,5026
3 2020-08-27 11,4912
3 2020-08-27 12,4803
3 2020-08-27 13,4747
3 2020-08-27 14,4622
3 2020-08-27 15,4505
3 2020-08-27 16,4364
3 2020-08-27 17,4303
3 2020-08-27 18,4255
3 2020-08-27 19,4232
3 2020-08-27 20,4201
3 2020-08-27 21,4173
3 2020-08-27 22,4139
3 2020-08-27 23,4103
3 2020-08-28 00,4149
3 2020-08-28 01,4266
3 2020-08-28 02,4480
3 2020-08-28 03,4724
3 2020-08-28 04,4962
3 2020-08-28 05,5251
3 2020-08-28 06,5501
3 2020-08-28 07,5474
3 2020-08-28 08,5460
3 2020-08-28 09,5412
3 2020-08-28 10,5326
3 2020-08-28 11,5207
3 2020-08-28 12,5077
3 2020-08-28 13,4983
3 2020-08-28 14,4868
3 2020-08-28 15,4748
3 2020-08-28 16,4620
3 2020-08-28 17,4500
3 2020-08-28 18,4400
3 2020-08-28 19,4352
3 2020-08-28 20,4292
3 2020-08-28 21,4239
3 2020-08-28 22,4188
3 2020-08-28 23,4148
3 2020-08-29 00,4150
3 2020-08-29 01,4289
3 2020-08-29 02,4514
3 2020-08-29 03,4752
3 2020-08-29 04,4984
3 2020-08-29 05,5241
